V,x,y
0.290513693,Critic_Count,Critic_Score
0.265834518,Critic_Count,EU_Sales
0.036549793,Critic_Count,JP_Sales
0.24275754,Critic_Count,NA_Sales
0.263491629,Critic_Count,Other_Sales
0.399931428,Critic_Count,User_Count
-0.04544573,Critic_Count,User_Score
0.158675347,Critic_Count,Year_of_Release
0.187730932,Critic_Score,EU_Sales
0.095016176,Critic_Score,JP_Sales
0.179134623,Critic_Score,NA_Sales
0.17767749,Critic_Score,Other_Sales
0.252609994,Critic_Score,User_Count
0.449172891,Critic_Score,User_Score
-0.000747301,Critic_Score,Year_of_Release
0.435068172,EU_Sales,JP_Sales
0.765336481,EU_Sales,NA_Sales
0.722795515,EU_Sales,Other_Sales
0.273932937,EU_Sales,User_Count
0.00060714,EU_Sales,User_Score
0.003385754,EU_Sales,Year_of_Release
0.449598192,JP_Sales,NA_Sales
0.291095818,JP_Sales,Other_Sales
0.033114181,JP_Sales,User_Count
0.088483448,JP_Sales,User_Score
-0.168852651,JP_Sales,Year_of_Release
0.638653878,NA_Sales,Other_Sales
0.210717114,NA_Sales,User_Count
-0.092530704,NA_Sales,Year_of_Release
0.250196111,Other_Sales,User_Count
0.037285716,Other_Sales,Year_of_Release
0.121690792,User_Count,Year_of_Release
0.022942948,User_Score,NA_Sales
0.001166505,User_Score,Other_Sales
-0.039228744,User_Score,User_Count
-0.182172078,User_Score,Year_of_Release
-0.092530704,Year_of_Release,NA_Sales
0.037285716,Year_of_Release,Other_Sales
0.121690792,Year_of_Release,User_Count
-0.182172078,Year_of_Release,User_Score
